"id_zona","sup_nieve","month"
"ZC1",6090.373870770076,"2002 sep."
"ZC1",2848.182350666518,"2002 oct."
"ZC1",7953.353958212936,"2002 nov."
"ZC1",1616.0294154743565,"2002 dic."
"ZC1",5675.023285236992,"2003 jul."
"ZC1",8876.773718536702,"2003 ago."
"ZC1",2634.3198406284346,"2003 sep."
"ZC1",1165.5282622536727,"2003 oct."
"ZC1",255.46930444381545,"2003 nov."
"ZC1",77.47472061756986,"2003 dic."
"ZC1",51.64981374504657,"2004 ene."
"ZC1",103.65830675221153,"2004 feb."
"ZC1",61.603163268831594,"2004 mar."
"ZC1",221.932793435747,"2004 abr."
"ZC1",444.313935949142,"2004 may."
"ZC1",316.44477900393986,"2004 jun."
"ZC1",2130.1064679055235,"2004 jul."
"ZC1",4244.700057724426,"2004 sep."
"ZC1",1109.8433068097943,"2004 oct."
"ZC1",325.3220907413697,"2004 nov."
"ZC1",110.65255236351993,"2004 dic."
"ZC1",678.621163927973,"2005 ene."
"ZC1",155.93580920596526,"2005 feb."
"ZC1",301.9182688881455,"2005 mar."
"ZC1",1089.308919053517,"2005 abr."
"ZC1",14188.00656217013,"2005 may."
"ZC1",5562.397996931822,"2005 jun."
"ZC1",2628.0429535413627,"2005 jul."
"ZC1",1204.7139716401055,"2005 ago."
"ZC1",14092.50820863111,"2005 sep."
"ZC1",4954.16763819458,"2005 oct."
"ZC1",1463.3217196274568,"2005 nov."
"ZC1",153.33538455560702,"2006 feb."
"ZC1",51.201464667398604,"2006 mar."
"ZC1",45.19358702691575,"2006 abr."
"ZC1",6062.396888324841,"2006 may."
"ZC1",9982.312874201076,"2006 jun."
"ZC1",2527.9714394103353,"2006 jul."
"ZC1",28181.698634087625,"2006 ago."
"ZC1",5406.910536803504,"2006 sep."
"ZC1",2294.2022303246818,"2006 oct."
"ZC1",234.84524687200866,"2006 nov."
"ZC1",62.85854068624592,"2006 dic."
"ZC1",57.657691385529425,"2007 ene."
"ZC1",46.53863425985967,"2007 feb."
"ZC1",23.852170930872205,"2007 mar."
"ZC1",492.3769570730048,"2007 abr."
"ZC1",943.1471197402776,"2007 may."
"ZC1",19155.1763236165,"2007 jul."
"ZC1",12323.322748232205,"2007 ago."
"ZC1",11924.38173894104,"2007 sep."
"ZC1",3131.0009488468595,"2007 oct."
