fecha,nieve_original,nieve_transformada,nieve_estacionaria,savi_original,savi_transformada,savi_estacionaria,agua_original,agua_transformada,agua_estacionaria
2005-11-01,3353.283756607005,8.117993541251499,8.117993541251499,,,,,,
2005-12-01,1969.792432883467,7.5861909910457666,7.5861909910457666,,,,,,
2006-01-01,1746.9409031808198,7.46619374739501,7.46619374739501,,,,,,
2006-02-01,453.2735702222616,6.11869959414645,6.11869959414645,,,,,,
2006-03-01,277.52562006262946,5.629510048179791,5.629510048179791,,,,,,
2006-04-01,258.9797990790317,5.5606039321471705,5.5606039321471705,,,,,,
2006-05-01,12351.20489575038,9.42158986018967,9.42158986018967,,,,,,
2006-06-01,23277.844232271214,10.055300254232849,10.055300254232849,,,,,,
2006-07-01,5198.953359770033,8.556404935254301,8.556404935254301,,,,,,
2006-08-01,103575.0347550486,11.548061257289604,11.548061257289604,,,,,,
2006-09-01,14749.763930502708,9.599050152325301,9.599050152325301,,,,,,
2006-10-01,6313.225930445315,8.750560450936632,8.750560450936632,,,,,,
2006-11-01,661.9007729245144,6.496625315221194,6.496625315221194,,,,,,
2006-12-01,237.0625660714527,5.472533521777047,5.472533521777047,,,,,,
2007-01-01,249.77782303755865,5.524567379958937,5.524567379958937,,,,,,
2007-02-01,499.0387475918361,6.214685590603267,6.214685590603267,,,,,,
2007-03-01,661.5367947440856,6.4960760955544865,6.4960760955544865,,,,,,
2007-04-01,759.8045600678547,6.634376504993258,6.634376504993258,,,,,,
2007-05-01,1819.550469370384,7.50689419003835,7.50689419003835,,,,,,
2007-06-01,26558.173466080465,10.187130483606166,10.187130483606166,,,,,,
2007-07-01,58683.84477944677,10.979936791552397,10.979936791552397,,,,,,
2007-08-01,27512.117950725544,10.222418186308532,10.222418186308532,,,,,,
2007-09-01,27093.49687204027,10.207085918794418,10.207085918794418,,,,,,
2007-10-01,6623.711287081811,8.798562070596411,8.798562070596411,,,,,,
2007-11-01,4783.496632538604,8.473136101391837,8.473136101391837,,,,,,
2007-12-01,2831.2159324711142,7.948814699248425,7.948814699248425,,,,,,
2008-01-01,1577.41684662382,7.364177627879919,7.364177627879919,,,,,,
2008-02-01,198.326348377328,5.29494342308324,5.29494342308324,,,,,,
2008-03-01,159.47985818905445,5.078168440545827,5.078168440545827,,,,,,
2008-04-01,220.1058150418334,5.3986413880233535,5.3986413880233535,,,,,,
2008-05-01,21684.62254120132,9.984404764236514,9.984404764236514,,,,,,
2008-06-01,12488.239009824074,9.432622673307002,9.432622673307002,,,,,,
2008-07-01,10107.133381318476,9.221095664040185,9.221095664040185,,,,,,
2008-08-01,7761.919906823856,8.957113819055516,8.957113819055516,,,,,,
2008-09-01,7325.692182628298,8.899279421898765,8.899279421898765,,,,,,
2008-10-01,241.5882974294116,5.491365757215421,5.491365757215421,,,,,,
2008-11-01,153.74203398171576,5.041759433546461,5.041759433546461,,,,,,
2008-12-01,134.8177879651259,4.9113141930350235,4.9113141930350235,,,,,,
2009-01-01,175.39920994689646,5.172749664803571,5.172749664803571,,,,,,
2009-02-01,1824.418011239661,7.509564287043883,7.509564287043883,,,,,,
2009-03-01,219.98299574640956,5.398085756233602,5.398085756233602,,,,,,
2009-04-01,655.6202032552351,6.487105774096459,6.487105774096459,,,,,,
